title,link,price in $
PS5        PlayStation PS5 Console – God of War Ragnarök Bundle       ,https://amazon.com/PlayStation-PS5-Console-Ragnar%C3%B6k-Bundle-5/dp/B0BHC395WW/ref=sr_1_1?keywords=ps5&qid=1683214259&sr=8-1,509
PS5        PlayStation 5 Digital Edition       ,https://amazon.com/PlayStation-5-Digital/dp/B0BCNTW8GH/ref=sr_1_2?keywords=ps5&qid=1683214259&sr=8-2,33
PS5        PS5 Console- Horizon Forbidden West Bundle       ,https://amazon.com/Console-Horizon-Forbidden-Bundle-PlayStation-5/dp/B0B16656Z2/ref=sr_1_3?keywords=ps5&qid=1683214259&sr=8-3,509
"PS5        DualSense Wireless Controller – Gray Camouflage, Playstation 5       ",https://amazon.com/DualSense-Wireless-Controller-Playstation-Gaming-Console/dp/B0BF18JWMT/ref=sr_1_4?keywords=ps5&qid=1683214259&sr=8-4,74
PS5        Star Wars Jedi: Survivor - PlayStation 5       ,https://amazon.com/Star-Wars-Jedi-Survivor-PlayStation-5/dp/B0BP5KV13Q/ref=sr_1_5?keywords=ps5&qid=1683214259&sr=8-5,69
"PS5        WD_BLACK 1TB SN850X NVMe Internal Gaming SSD Solid State Drive with Heatsink - Works with Playstation 5, Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS100T2XHE       ",https://amazon.com/WD_BLACK-SN850X-Internal-Gaming-Heatsink/dp/B0B7CPSN2K/ref=sr_1_6?keywords=ps5&qid=1683214259&sr=8-6,94
"PS5        HORI Racing Wheel Apex for Playstation 5, PlayStation 4 and PC - Officially Licensed by Sony - Compatible with Gran Turismo 7       ",https://amazon.com/HORI-Racing-Wheel-Apex-Playstation-5/dp/B09PX6GHJ7/ref=sr_1_7?keywords=ps5&qid=1683214259&sr=8-7,119
PS5        DualSense Edge Wireless Controller       ,https://amazon.com/DualSense-Edge-Wireless-Controller-PlayStation-5/dp/B0BSYFB99D/ref=sr_1_8?keywords=ps5&qid=1683214259&sr=8-8,199
"PS5        PDP AIRLITE Headset with Mic for PS5, PS4, PC - Frost White       ",https://amazon.com/PlayStation-Headset-Mic-Compatible-AIRLITE-5/dp/B07VC8BZZX/ref=sr_1_9?keywords=ps5&qid=1683214259&sr=8-9,24
"PS5        WD_BLACK 1TB SN850 NVMe SSD for PS5 Consoles Solid State Drive with Heatsink - Gen4 PCIe, M.2 2280, Up to 7,000 MB/s - WDBBKW0010BBK-WRSN       ",https://amazon.com/WD_BLACK-SN850-Consoles-Solid-Heatsink/dp/B0B4SQB1HY/ref=sr_1_10?keywords=ps5&qid=1683214259&sr=8-10,119
PS5        Tchia: Oléti Edition (PS5)       ,https://amazon.com/Tchia-Ol%C3%A9ti-PS5-PlayStation-5/dp/B0C447Z5M1/ref=sr_1_11?keywords=ps5&qid=1683214259&sr=8-11,34
"PS5        Turtle Beach Stealth 700 Gen 2 MAX Wireless Amplified Multiplatform Gaming Headset for PS5, PS4, Nintendo Switch, PC with Bluetooth, 40+ Hour Battery, 50mm Nanoclear Speakers – Black       ",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09072253G3XB791827H1&qualifier=1683214259&id=5087690072009900&widgetName=sp_mtf&url=%2FAmplified-Multiplatform-Bluetooth-Nanoclear-PlayStation-5%2Fdp%2FB0B7T67H9G%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dps5%26qid%3D1683214259%26sr%3D8-12-spons%26psc%3D1,174
PS5        PlayStation PULSE 3D Wireless Headset – Midnight Black       ,https://amazon.com/PlayStation-PULSE-3D-Wireless-Headset-5/dp/B09GBVLRLP/ref=sr_1_13?keywords=ps5&qid=1683214259&sr=8-13,99
"PS5        Logitech G29 Driving Force Racing Wheel and Floor Pedals for PS5, PS4, PC, Mac + Astro A10 Gen 2 Gaming Headset       ",https://amazon.com/Logitech-Driving-Racing-Pedals-Headset/dp/B0BJYP4W7N/ref=sr_1_14?keywords=ps5&qid=1683214259&sr=8-14,342
PS5        God of War Ragnarök - PlayStation 5       ,https://amazon.com/God-War-Ragnar%C3%B6k-PlayStation-5/dp/B0B61YDF5V/ref=sr_1_15?keywords=ps5&qid=1683214259&sr=8-15,69
"PS5        PowerA Ultra High Speed HDMI Cable for PlayStation 5, cable, HDMI 2.1, PS5, officially licensed       ",https://amazon.com/PowerA-Ultra-PlayStation-officially-licensed-5/dp/B09F6WF4JD/ref=sr_1_16?keywords=ps5&qid=1683214259&sr=8-16,39
"PS5        Turtle Beach Stealth Pro Multiplatform Wireless Noise-Cancelling Gaming Headset for PS5, PS4, Playstation, PC, Mac, Switch, & Mobile – 50mm Speakers, Bluetooth, Dual Batteries – Black       ",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0665960QBXR7OZNUTGT&qualifier=1683214259&id=5087690072009900&widgetName=sp_mtf&url=%2FMultiplatform-Wireless-Noise-Cancelling-Playstation-5-4%2Fdp%2FB0BX76VRZL%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dps5%26qid%3D1683214259%26sr%3D8-17-spons%26psc%3D1,329
"PS5        PowerA Charge Cable with Kevlar for PlayStation 5, cable, USB, Kevlar, PS5, officially licensed       ",https://amazon.com/PowerA-Charge-PlayStation-officially-licensed-5/dp/B0BCRTXNDN/ref=sr_1_18?keywords=ps5&qid=1683214259&sr=8-18,19
"PS5        ASUS ROG Strix Go Core Moonlight White Gaming Headset | Hi-Res Audio, 3.5mm Jack, Volume and Mic Control, Lightweight Build, Compatible with PC, PS5, Xbox One, Nintendo Switch and Mobile Devices       ",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A020604010ZEM1FEUXD6Z&qualifier=1683214259&id=5087690072009900&widgetName=sp_btf&url=%2FASUS-ROG-Moonlight-Lightweight-Compatible%2Fdp%2FB09D8Q43FF%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dps5%26qid%3D1683214259%26sr%3D8-19-spons%26psc%3D1,71
"PS5        ASUS TUF Gaming H1 Wired Headset (Discord Certified Mic,7.1 Surround Sound,40mm Drivers,3.5mm,Lightweight,for PC,Switch,PS4,PS5,Xbox One,Xbox Series X | S, and Mobile Devices)-Demon Slayer TANJIRO       ",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04077213D94USAKVVFCM&qualifier=1683214259&id=5087690072009900&widgetName=sp_btf&url=%2FASUS-TUF-Certified-Surround-Lightweight%2Fdp%2FB0B83Z8NPS%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dps5%26qid%3D1683214259%26sr%3D8-20-spons%26psc%3D1,46
"PS5        ASUS ROG Fusion II 300 Gaming Headset (AI Beamforming Mic with Noise Canceling, 7.1 Surround Sound, 50mm Driver, Hi-Res ESS 9280 Quad DAC, USB-C, for PC, Mac, PS4, PS5, Switch)- Black       ",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00002513JB2GD4YT58T5&qualifier=1683214259&id=5087690072009900&widgetName=sp_btf&url=%2FASUS-ROG-II-300-Beamforming%2Fdp%2FB0B2JQT9S2%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dps5%26qid%3D1683214259%26sr%3D8-21-spons%26psc%3D1,139
