Name,Games,Points,Total Rebound,Assists
Kareem Abdul-Jabbar,1560,24.6,11.2,3.6
Charles Barkley,1073,22.1,11.7,3.9
Wilt Chamberlain,1045,30.1,22.9,4.4
Tim Duncan,1392,19.0,10.8,3.0
Julius Erving,1243,24.2,8.5,4.2
Walt Frazier,825,18.9,5.9,6.1
Kevin Garnett,1462,17.8,10.0,3.7
James Harden,1000,24.7,5.6,7.0
Dan Issel,1218,22.6,9.1,2.4
LeBron James,1421,27.2,7.5,7.3
Jason Kidd,1391,12.6,6.3,8.7
Bob Lanier,959,20.1,10.1,3.1
Karl Malone,1476,25.0,10.1,3.6
Dirk Nowitzki,1522,20.7,7.5,2.4
Shaquille O'Neal,1207,23.7,10.9,2.5
Chris Paul,1214,17.9,4.5,9.5
Immanuel Quickley,223,12.7,3.2,3.1
Oscar Robertson,1040,25.7,7.5,9.5
John Stockton,1504,13.1,2.7,10.5
Otis Thorpe,1257,14.0,8.2,2.2
Wes Unseld,984,10.8,14.0,3.9
Kiki Vandeweghe,810,19.7,3.4,2.1
Jerry West,932,27.0,5.8,6.7
Thaddeus Young,1139,12.4,5.7,1.8
Max Zaslofsky,540,14.8,2.8,2.0
